Bangla_letter Phoneme Transliteration
অ AO O
আ AA A
া AA A
ই IH I
ি IH I
ঈ IH I
ী IH I
উ UH U
ু UH U
ঊ UH U
ূ UH U
ঋ R R
ৃ R R
এ EH E
ে EH E
ঐ OI OI
ৈ OI OI
ও OO O
ো OO O
ঔ OU OU
ৌ OU OU
@ AE AE
্ ' '
ক K K
খ KS KH
গ G G
ঘ GS GH
ঙ NG NG
চ CH CH
ছ CHS CHH
জ JH J
ঝ JHS JH
ঞ Y Y
ট T T
ঠ TS TH
ড D D
ঢ DS DH
ণ N N
ত TT T
থ TTS TH
দ DD D
ধ DDS DH
ন N N
প P P
ফ PS PH
ব B B
ভ BS BH
ম M M
য JH J
র R R
ল L L
শ SH SH
ষ SH SH
স SH SH
হ HH H
ড় RH RH
ঢ় RH RH
য় Y Y
ং NG NG
ঁ * *
ঃ : :
ৎ TT T
